name,docstring_length,code_length,examples_length,start_line,file
cross,30,42,0,3133,numpy\linalg\_linalg.py
compressed,31,36,21,7178,numpy\ma\core.py
array_str,31,36,3,1673,numpy\_core\arrayprint.py
array_equiv,31,45,15,2525,numpy\_core\numeric.py
chebpow,31,41,4,817,numpy\polynomial\chebyshev.py
chebgauss,31,43,0,1847,numpy\polynomial\chebyshev.py
endswith,31,37,8,408,numpy\_core\strings.py
polypow,31,37,4,432,numpy\polynomial\polynomial.py
read_array_header_2_0,31,36,0,531,numpy\lib\format.py
disp,31,53,9,1960,numpy\lib\_function_base_impl.py
translate,31,37,6,1453,numpy\_core\strings.py
lagpow,31,35,4,554,numpy\polynomial\laguerre.py
issubclass_,31,36,7,289,numpy\_core\numerictypes.py
hermpow,31,35,4,561,numpy\polynomial\hermite.py
hermepow,31,35,4,554,numpy\polynomial\hermite_e.py
flatten,31,36,6,379,numpy\matrixlib\defmatrix.py
real,31,36,12,84,numpy\lib\_type_check_impl.py
issctype,31,38,13,187,numpy\_core\numerictypes.py
hermemulx,31,47,4,393,numpy\polynomial\hermite_e.py
chebvander,32,51,0,1387,numpy\polynomial\chebyshev.py
ravel,32,37,0,900,numpy\matrixlib\defmatrix.py
polysub,32,51,5,846,numpy\lib\_polynomial_impl.py
compress_nd,32,55,11,875,numpy\ma\extras.py
rstrip,32,39,8,844,numpy\_core\strings.py
cast,32,40,0,1181,numpy\polynomial\_polybase.py
replace,32,53,8,1116,numpy\_core\strings.py
interpolate,32,40,0,2038,numpy\polynomial\chebyshev.py
write_array,32,48,0,685,numpy\lib\format.py
legvander,32,51,0,1127,numpy\polynomial\legendre.py
common_type,32,50,7,647,numpy\lib\_type_check_impl.py
place,32,37,6,1921,numpy\lib\_function_base_impl.py
hermegauss,32,65,0,1553,numpy\polynomial\hermite_e.py
leggauss,32,66,0,1521,numpy\polynomial\legendre.py
vecdot,32,37,0,3358,numpy\linalg\_linalg.py
open,32,39,0,154,numpy\lib\_datasource.py
CCompiler_compile,32,139,0,234,numpy\distutils\ccompiler.py
mask_or,32,54,5,1728,numpy\ma\core.py
