0: ['swap_count1', 'diff0', 'expect24', 'Falses24', 'Trues105', 'out_len129', 'prom_len105', 'Trues==prom_len True']: .\log\np\np_gradient_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues13', 'out_len17', 'prom_len13', 'Trues==prom_len True']: .\log\np\np_greater_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues13', 'out_len17', 'prom_len13', 'Trues==prom_len True']: .\log\np\np_greater_equal_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues34', 'out_len40', 'prom_len34', 'Trues==prom_len True']: .\log\np\np_hamming_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues35', 'out_len43', 'prom_len35', 'Trues==prom_len True']: .\log\np\np_hanning_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues7', 'out_len14', 'prom_len7', 'Trues==prom_len True']: .\log\np\np_heaviside_70B.log
0: ['swap_count1', 'diff0', 'expect10', 'Falses10', 'Trues83', 'out_len93', 'prom_len83', 'Trues==prom_len True']: .\log\np\np_histogram2d_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues8', 'out_len16', 'prom_len8', 'Trues==prom_len True']: .\log\np\np_histogramdd_70B.log
0: ['swap_count1', 'diff0', 'expect10', 'Falses10', 'Trues36', 'out_len46', 'prom_len36', 'Trues==prom_len True']: .\log\np\np_histogram_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues41', 'out_len46', 'prom_len41', 'Trues==prom_len True']: .\log\np\np_histogram_bin_edges_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues48', 'out_len56', 'prom_len48', 'Trues==prom_len True']: .\log\np\np_hsplit_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues13', 'out_len21', 'prom_len13', 'Trues==prom_len True']: .\log\np\np_hstack_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues14', 'out_len19', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_hypot_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues7', 'out_len12', 'prom_len7', 'Trues==prom_len True']: .\log\np\np_i0_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues7', 'out_len14', 'prom_len7', 'Trues==prom_len True']: .\log\np\np_identity_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues11', 'out_len16', 'prom_len11', 'Trues==prom_len True']: .\log\np\np_imag_70B.log
